bloco,question,year,answer,percentage
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,Sim,8
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,Às vezes,35
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,Não,56
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,Sim,8
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,Às vezes,42
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,Não,50
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,Sim,5
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,Às vezes,48
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,Não,47
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,Sim,6
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,Às vezes,51
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,Não,41
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,NS/NR,1
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,Sim,10
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,Às vezes,54
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,Não,35
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,NS/NR,1
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,Sim,5
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,Às vezes,52
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,Não,43
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,Sim,4
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,Às vezes,44
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,Não,51
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,NS/NR,1
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,Sim,4
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,Às vezes,39
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,Não,56
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,NS/NR,1
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,Sim,4
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,Às vezes,42
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,Não,54
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,NS/NR,1
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,Sim,7
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,Às vezes,46
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,Não,46
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,NS/NR,1
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,Sim,6
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,As vezes,12
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,Não,81
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,NS/NR,1
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Na família,53
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Na Justiça,15
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,No trabalho,15
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Nas instituições públicas,8
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Na solicitação de serviços,3
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,NS/NR,6
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,No trabalho,24
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,Na família,23
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,Outros ambientes,47
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,NS/NR,7
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,Na sociedade,38
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,Na família,32
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,No trabalho,17
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,Outros ambientes,12
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,NS/NR,1
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,Na sociedade,34
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,Na família,34
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,No trabalho,25
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,Outros ambientes,6
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,NS/NR,1
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Sexual,33
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Física,29
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Moral,18
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Psicológica,17
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Patrimonial,1
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,NS/NR,2
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,Aumentou,60
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,Permaneceu igual,25
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,Diminuiu,14
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,NS/NR,1
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,Aumentou,66
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,Permaneceu igual,19
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,Diminuiu,14
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,NS/NR,1
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,Aumentou,63
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,Permaneceu igual,21
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,Diminuiu,15
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,NS/NR,1
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,Aumentou,63
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,Permaneceu igual,23
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,Diminuiu,13
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,NS/NR,1
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Ter medo do agressor,78
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Outros,16
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Ter vergonha da agressão,9
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Depender financeiramente do agressor,6
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Não existir punição,2
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Ter medo do agressor,68
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Outros,3
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Preocupar-se com a criação dos filhos,23
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Depender financeiramente do agressor,22
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Não existir punição,18
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Ter vergonha da agressão,18
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Não conhecer seus direitos,12
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Acreditar que seria a última vez,11
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Ter medo do agressor,74
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Depender financeiramente do agressor,34
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Preocupar-se com a criação dos filhos,34
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Ter vergonha da agressão,26
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Não existir punição,23
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Acreditar que seria a última vez,22
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Outros,2
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Não conhecer seus direitos,19
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Ter medo do agressor,74
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Depender financeiramente do agressor,36
