year,category,question,answer,percentage,total_answers
2005,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,8,65
2005,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,35,285
2005,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,56,456
2005,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0,0
2007,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,8,63
2007,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,42,334
2007,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,50,398
2007,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0,0
2009,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,5,41
2009,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,48,396
2009,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,47,388
2009,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0,0
2011,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,6,81
2011,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,51,689
2011,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,41,554
2011,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,1,13
2013,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,10,124
2013,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,54,673
2013,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,35,436
2013,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,1,12
2015,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,5,55
2015,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,52,573
2015,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,43,473
2015,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0,0
2017,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,4,44
2017,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,44,491
2017,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,51,569
2017,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,1,11
2019,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,4,96
2019,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,39,936
2019,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,56,1344
2019,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,1,24
2021,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,4,120
