year,category,subcategory,answer,percentage
2005,Age range,16 to 29 years old,Yes,11
2005,Age range,30 to 39 years old,Yes,25
2005,Age range,40 to 49 years old,Yes,23
2005,Age range,50 to 59 years old,Yes,13
2005,Age range,60 or more,Yes,15
2005,Age range,16 to 29 years old,No,89
2005,Age range,30 to 39 years old,No,75
2005,Age range,40 to 49 years old,No,75
2005,Age range,50 to 59 years old,No,87
2005,Age range,60 or more,No,84
2005,Age range,16 to 29 years old,NS/NR,0
2005,Age range,30 to 39 years old,NS/NR,0
2005,Age range,40 to 49 years old,NS/NR,1
2005,Age range,50 to 59 years old,NS/NR,0
2005,Age range,60 or more,NS/NR,1
2005,Education,Up to elementary school,Yes,25
2005,Education,Completed high school,Yes,15
2005,Education,Completed higher education or more,Yes,11
2005,Education,Up to elementary school,No,74
2005,Education,Completed high school,No,85
2005,Education,Completed higher education or more,No,89
2005,Education,Up to elementary school,NS/NR,1
2005,Education,Completed high school,NS/NR,0
2005,Education,Completed higher education or more,NS/NR,0
2005,Region,Midwest,Yes,15
2005,Region,North East,Yes,19
2005,Region,North,Yes,23
2005,Region,Southeast,Yes,15
2005,Region,South,Yes,22
2005,Region,Midwest,No,84
2005,Region,North East,No,80
2005,Region,North,No,75
2005,Region,Southeast,No,85
2005,Region,South,No,78
2005,Region,Midwest,NS/NR,1
2005,Region,North East,NS/NR,0
2005,Region,North,NS/NR,1
2005,Region,Southeast,NS/NR,0
2005,Region,South,NS/NR,0
2007,Age range,16 to 29 years old,Yes,10
2007,Age range,30 to 39 years old,Yes,15
2007,Age range,40 to 49 years old,Yes,20
2007,Age range,50 to 59 years old,Yes,19
2007,Age range,60 or more,Yes,18
2007,Age range,16 to 29 years old,No,90
2007,Age range,30 to 39 years old,No,85
2007,Age range,40 to 49 years old,No,80
2007,Age range,50 to 59 years old,No,81
2007,Age range,60 or more,No,82
2007,Education,Up to elementary school,Yes,22
2007,Education,Completed high school,Yes,14
2007,Education,Completed higher education or more,Yes,8
2007,Education,Up to elementary school,No,78
2007,Education,Completed high school,No,86
2007,Education,Completed higher education or more,No,92
2007,Region,Midwest,Yes,14
2007,Region,North East,Yes,15
2007,Region,North,Yes,21
2007,Region,Southeast,Yes,15
2007,Region,South,Yes,13
2007,Region,Midwest,No,86
2007,Region,North East,No,85
