bloco,question,year,answer,percentage,category_translated,question_translated,answer_translated,total_answers
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,Sim,8,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,65
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,Às vezes,35,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,285
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,Não,56,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,456
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2005,NS/NR,0,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,Sim,8,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,63
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,Às vezes,42,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,334
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,Não,50,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,398
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2007,NS/NR,0,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,Sim,5,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,41
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,Às vezes,48,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,396
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,Não,47,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,388
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2009,NS/NR,0,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,Sim,6,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,81
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,Às vezes,51,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,689
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,Não,41,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,554
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2011,NS/NR,1,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,13
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,Sim,10,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,124
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,Às vezes,54,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,673
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,Não,35,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,436
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2013,NS/NR,1,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,12
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,Sim,5,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,55
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,Às vezes,52,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,573
